Species,Replicate,Dose,Time_h,RawOD
KT2440,1,2,5.5,1.249648522
KT2440,1,1,5.5,1.288160539
KT2440,1,0,5.5,1.176475692
KT2440,2,90,5.5,0.078883233
KT2440,2,70,5.5,0.044222418
KT2440,2,50,5.5,0.04807362
KT2440,2,25,5.5,0.036520015
KT2440,2,20,5.5,0.040319385
KT2440,2,15,5.5,0.300155423
KT2440,2,10,5.5,1.207285305
KT2440,2,5,5.5,1.241946119
KT2440,2,2,5.5,1.342077361
KT2440,2,1,5.5,1.303565345
KT2440,2,0,5.5,1.207285305
KT2440,3,90,5.5,0.094288039
KT2440,3,70,5.5,0.113544047
KT2440,3,50,5.5,0.055776023
KT2440,3,25,5.5,0.044222418
KT2440,3,20,5.5,0.049279249
